mciId,file,method,beforeCCTR,afterCCTR,delta,pctReduction
org.apache.dubbo.remoting.ChannelHandler::1,dubbo-remoting/dubbo-remoting-netty4/src/test/java/org/apache/dubbo/remoting/transport/netty4/NettyCodecAdapterTest.java,test,5,4,-1,20.0
org.apache.dubbo.remoting.ChannelHandler::1,dubbo-remoting/dubbo-remoting-netty4/src/test/java/org/apache/dubbo/remoting/transport/netty4/NettyCodecAdapterTest.java,testDecodeException,10,9,-1,10.0
java.sql.Connection::1,dubbo-config/dubbo-config-spring/src/test/java/org/apache/dubbo/config/spring/status/DataSourceStatusCheckerTest.java,testWithDatasourceHasNextResult,3,2,-1,33.3
java.sql.Connection::1,dubbo-config/dubbo-config-spring/src/test/java/org/apache/dubbo/config/spring/status/DataSourceStatusCheckerTest.java,testWithDatasourceNotHasNextResult,3,2,-1,33.3
CommandContext::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/command/impl/HelpTest.java,testMainHelp,8,6,-2,25.0
CommandContext::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/command/impl/HelpTest.java,testGreeting,6,4,-2,33.3
org.apache.dubbo.registry.integration.RegistryProtocol::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationInvokerTest.java,test,133,128,-5,3.8
org.apache.dubbo.registry.integration.RegistryProtocol::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationInvokerTest.java,testDecide,63,58,-5,7.9
org.apache.dubbo.registry.client.migration.MigrationRuleHandler<?>::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationRuleListenerTest.java,test,14,13,-1,7.1
org.apache.dubbo.registry.client.migration.MigrationRuleHandler<?>::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationRuleListenerTest.java,testWithInitAndNoLocalRule,12,11,-1,8.3
org.apache.dubbo.registry.client.migration.MigrationRuleHandler<?>::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationRuleListenerTest.java,testWithConfigurationListenerAndLocalRule,41,39,-2,4.9
org.apache.dubbo.rpc.Invoker<java.lang.Object>::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/MutinyClientCallsTest.java,testOneToOneSuccess,5,4,-1,20.0
org.apache.dubbo.rpc.Invoker<java.lang.Object>::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/MutinyClientCallsTest.java,testOneToOneThrowsErrorWithMutinyAwait,6,5,-1,16.7
org.apache.dubbo.rpc.Invoker<java.lang.Object>::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/MutinyClientCallsTest.java,testOneToManyReturnsMultiAndEmitsItems,9,8,-1,11.1
org.apache.dubbo.rpc.Invoker<java.lang.Object>::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/MutinyClientCallsTest.java,testManyToOneSuccess,7,6,-1,14.3
java.util.concurrent.Flow.Subscription::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/TripleMutinySubscriberTest.java,testSubscribeBindsDownstreamAndRequests,4,3,-1,25.0
java.util.concurrent.Flow.Subscription::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/TripleMutinySubscriberTest.java,testOnNextPassesItemAndRequestsNext,6,5,-1,16.7
java.util.concurrent.Flow.Subscription::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/TripleMutinySubscriberTest.java,testOnErrorMarksDoneAndPropagates,4,3,-1,25.0
java.util.concurrent.Flow.Subscription::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/TripleMutinySubscriberTest.java,testOnCompleteMarksDoneAndNotifies,4,3,-1,25.0
java.util.concurrent.Flow.Subscription::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/TripleMutinySubscriberTest.java,testCancelCancelsSubscription,4,3,-1,25.0
java.util.concurrent.Flow.Subscription::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/TripleMutinySubscriberTest.java,testSubscribeTwiceDoesNotRebind,7,6,-1,14.3
java.util.concurrent.Flow.Subscription::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/TripleMutinySubscriberTest.java,testOnSubscribeTwiceCancelsSecond,6,4,-2,33.3
java.util.concurrent.Flow.Subscription::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/TripleMutinySubscriberTest.java,testOnNextAfterDoneDoesNothing,4,3,-1,25.0
org.apache.dubbo.registry.nacos.NacosConnectionManager::1,dubbo-registry/dubbo-registry-nacos/src/test/java/org/apache/dubbo/registry/nacos/NacosNamingServiceWrapperTest.java,testSubscribe,15,13,-2,13.3
org.apache.dubbo.registry.nacos.NacosConnectionManager::1,dubbo-registry/dubbo-registry-nacos/src/test/java/org/apache/dubbo/registry/nacos/NacosNamingServiceWrapperTest.java,testConcurrency,11,9,-2,18.2
ChannelPromise::1,dubbo-remoting/dubbo-remoting-netty4/src/test/java/org/apache/dubbo/remoting/transport/netty4/NettyChannelTest.java,testSend,38,28,-10,26.3
ChannelPromise::1,dubbo-remoting/dubbo-remoting-netty4/src/test/java/org/apache/dubbo/remoting/transport/netty4/NettyClientHandlerTest.java,test,32,27,-5,15.6
org.apache.dubbo.common.utils.Log::1,dubbo-common/src/test/java/org/apache/dubbo/common/utils/LogUtilTest.java,testCheckNoError,7,3,-4,57.1
org.apache.dubbo.common.utils.Log::1,dubbo-common/src/test/java/org/apache/dubbo/common/utils/LogUtilTest.java,testFindLevel,5,3,-2,40.0
org.apache.dubbo.common.utils.Log::1,dubbo-common/src/test/java/org/apache/dubbo/common/utils/LogUtilTest.java,testFindLevelWithThreadName,11,7,-4,36.4
org.apache.dubbo.common.utils.Log::1,dubbo-common/src/test/java/org/apache/dubbo/common/utils/LogUtilTest.java,testFindMessage2,11,7,-4,36.4
org.apache.dubbo.rpc.cluster.Directory<?>::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/command/util/ServiceCheckUtilsTest.java,testGetConsumerAddressNum,69,45,-24,34.8
java.net.InetAddress::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndNotMatchWhiteList,19,14,-5,26.3
java.net.InetAddress::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldNotShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndMatchWhiteList,13,8,-5,38.5
java.net.InetAddress::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldNotShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndMatchWhiteListRange,13,8,-5,38.5
org.apache.dubbo.common.URL::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationInvokerTest.java,test,133,120,-13,9.8
org.apache.dubbo.common.URL::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationInvokerTest.java,testDecide,63,50,-13,20.6
org.apache.dubbo.common.URL::2,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationRuleListenerTest.java,test,14,9,-5,35.7
org.apache.dubbo.common.URL::2,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationRuleListenerTest.java,testWithInitAndNoLocalRule,12,7,-5,41.7
org.apache.dubbo.common.URL::2,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationRuleListenerTest.java,testWithConfigurationListenerAndLocalRule,41,31,-10,24.4
Replier::1,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/exchange/ExchangersTest.java,testBind,6,2,-4,66.7
Replier::1,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/exchange/ExchangersTest.java,testConnect,8,2,-6,75.0
Replier::2,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/exchange/ExchangersTest.java,testBind,6,2,-4,66.7
Replier::2,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/exchange/ExchangersTest.java,testConnect,8,2,-6,75.0
org.apache.dubbo.rpc.cluster.router.mesh.route.MeshEnvListenerFactory::1,dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/router/mesh/route/MeshRuleManagerTest.java,testRegister3,31,25,-6,19.4
org.apache.dubbo.registry.client.ServiceDiscovery::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListenerTest.java,testRevisionFailureOnNotification,8,5,-3,37.5
org.apache.dubbo.registry.client.ServiceDiscovery::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListenerWithoutEmptyProtectTest.java,testRevisionFailureOnNotification,8,5,-3,37.5
org.apache.dubbo.common.stream.StreamObserver<java.lang.String>::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/MutinyServerCallsTest.java,testOneToOne_success,7,6,-1,14.3
org.apache.dubbo.common.stream.StreamObserver<java.lang.String>::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/MutinyServerCallsTest.java,testOneToOne_exception,7,6,-1,14.3
ChannelFuture::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndEmptyWhiteList,17,14,-3,17.6
ChannelFuture::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndNotMatchWhiteList,19,16,-3,15.8
ChannelFuture::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldNotShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndNotMatchWhiteListAndPermissionConfig,9,6,-3,33.3
ChannelFuture::2,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/HttpProcessHandlerTest.java,test1,12,9,-3,25.0
ChannelFuture::2,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/HttpProcessHandlerTest.java,test2,14,11,-3,21.4
ChannelFuture::2,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/HttpProcessHandlerTest.java,test3,14,11,-3,21.4
Channel::1,dubbo-remoting/dubbo-remoting-netty4/src/test/java/org/apache/dubbo/remoting/transport/netty4/NettyChannelTest.java,testSend,38,34,-4,10.5
Channel::1,dubbo-remoting/dubbo-remoting-netty4/src/test/java/org/apache/dubbo/remoting/transport/netty4/NettyClientHandlerTest.java,test,32,28,-4,12.5
Channel::2,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndEmptyWhiteList,17,15,-2,11.8
Channel::2,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndNotMatchWhiteList,19,17,-2,10.5
