mciId,classification,firstPassClassification,repairRounds,goalAchieved,mutationRegressed,reclassifiedReason,diffFile
org.apache.dubbo.remoting.ChannelHandler::1,SUCCESS,SUCCESS,0,True,False,,diffs/org.apache.dubbo.remoting.ChannelHandler__1.diff
java.sql.Connection::1,SUCCESS,SUCCESS,0,True,False,,diffs/java.sql.Connection__1.diff
CommandContext::1,SUCCESS,SUCCESS,0,True,False,,diffs/CommandContext__1.diff
org.apache.dubbo.registry.integration.RegistryProtocol::1,SUCCESS,SUCCESS,0,True,False,,diffs/org.apache.dubbo.registry.integration.RegistryProtocol__1.diff
org.apache.dubbo.registry.client.migration.MigrationRuleHandler<?>::1,SUCCESS,SUCCESS,0,True,False,,diffs/org.apache.dubbo.registry.client.migration.MigrationRuleHandler_____1.diff
org.apache.dubbo.rpc.Invoker<java.lang.Object>::1,SUCCESS,SUCCESS,0,True,False,,diffs/org.apache.dubbo.rpc.Invoker_java.lang.Object___1.diff
java.util.concurrent.Flow.Subscription::1,SUCCESS,SUCCESS,0,True,False,,diffs/java.util.concurrent.Flow.Subscription__1.diff
org.apache.dubbo.registry.nacos.NacosConnectionManager::1,SUCCESS,SUCCESS,0,True,False,,diffs/org.apache.dubbo.registry.nacos.NacosConnectionManager__1.diff
ChannelPromise::1,SUCCESS,SUCCESS,0,True,False,,diffs/ChannelPromise__1.diff
org.apache.dubbo.common.utils.Log::1,SUCCESS,SUCCESS,0,True,False,,diffs/org.apache.dubbo.common.utils.Log__1.diff
org.apache.dubbo.rpc.cluster.Directory<?>::1,SUCCESS,SUCCESS,0,True,False,,diffs/org.apache.dubbo.rpc.cluster.Directory_____1.diff
java.net.InetAddress::1,SUCCESS,SUCCESS,0,True,False,,diffs/java.net.InetAddress__1.diff
java.net.InetAddress::2,FAILED_BEHAVIORAL_EQUIVALENCE,FAILED_BEHAVIORAL_EQUIVALENCE,2,,False,,
org.apache.dubbo.common.URL::1,SUCCESS,SUCCESS,0,True,False,,diffs/org.apache.dubbo.common.URL__1.diff
org.apache.dubbo.common.URL::2,SUCCESS,SUCCESS,0,True,False,,diffs/org.apache.dubbo.common.URL__2.diff
Replier::1,SUCCESS,SUCCESS,0,True,False,,diffs/Replier__1.diff
Replier::2,SUCCESS,SUCCESS,0,True,False,,diffs/Replier__2.diff
org.apache.dubbo.rpc.cluster.router.mesh.route.MeshEnvListenerFactory::1,SUCCESS,SUCCESS,0,True,False,,diffs/org.apache.dubbo.rpc.cluster.router.mesh.route.MeshEnvListenerFactory__1.diff
