mciId,file,method,beforeCCTR,afterCCTR,delta,pctReduction
com.cloud.network.NetworkModel::1,plugins/network-elements/tungsten/src/test/java/org/apache/cloudstack/network/tungsten/service/TungstenElementTest.java,shutdownProviderInstancesTest,33,31,-2,6.1
com.cloud.network.NetworkModel::1,plugins/network-elements/tungsten/src/test/java/org/apache/cloudstack/network/tungsten/service/TungstenElementTest.java,applyFWRulesWithAddEgressRuleTest,20,18,-2,10.0
com.cloud.network.NetworkModel::1,plugins/network-elements/tungsten/src/test/java/org/apache/cloudstack/network/tungsten/service/TungstenElementTest.java,applyFWRulesWithAddIngressRuleTest,26,24,-2,7.7
com.cloud.network.NetworkModel::1,plugins/network-elements/tungsten/src/test/java/org/apache/cloudstack/network/tungsten/service/TungstenElementTest.java,applyFWRulesWithRevokeRuleTest,15,13,-2,13.3
com.cloud.network.NetworkModel::1,plugins/network-elements/tungsten/src/test/java/org/apache/cloudstack/network/tungsten/service/TungstenServiceImplTest.java,createPublicNetworkTest,23,21,-2,8.7
com.cloud.network.NetworkModel::1,plugins/network-elements/tungsten/src/test/java/org/apache/cloudstack/network/tungsten/service/TungstenServiceImplTest.java,addPublicNetworkSubnetTest,31,29,-2,6.5
com.cloud.network.NetworkModel::1,plugins/network-elements/tungsten/src/test/java/org/apache/cloudstack/network/tungsten/service/TungstenServiceImplTest.java,deletePublicNetworkTest,10,8,-2,20.0
com.cloud.network.NetworkModel::1,plugins/network-elements/tungsten/src/test/java/org/apache/cloudstack/network/tungsten/service/TungstenServiceImplTest.java,removePublicNetworkSubnetTest,20,18,-2,10.0
com.cloud.network.NetworkModel::1,plugins/network-elements/tungsten/src/test/java/org/apache/cloudstack/network/tungsten/service/TungstenServiceImplTest.java,updateLoadBalancerTest,55,53,-2,3.6
com.cloud.network.NetworkModel::3,plugins/network-elements/brocade-vcs/src/test/java/com/cloud/network/guru/BrocadeVcsGuestNetworkGuruTest.java,testImplement,62,60,-2,3.2
com.cloud.network.NetworkModel::3,plugins/network-elements/brocade-vcs/src/test/java/com/cloud/network/guru/BrocadeVcsGuestNetworkGuruTest.java,testImplementFail,65,63,-2,3.1
com.cloud.network.NetworkModel::3,plugins/network-elements/brocade-vcs/src/test/java/com/cloud/network/guru/BrocadeVcsGuestNetworkGuruTest.java,testReserve,53,51,-2,3.8
com.cloud.network.NetworkModel::3,plugins/network-elements/brocade-vcs/src/test/java/com/cloud/network/guru/BrocadeVcsGuestNetworkGuruTest.java,testReserveFail,56,54,-2,3.6
com.cloud.network.NetworkModel::3,plugins/network-elements/brocade-vcs/src/test/java/com/cloud/network/guru/BrocadeVcsGuestNetworkGuruTest.java,testDeallocate,34,32,-2,5.9
