mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
org.apache.druid.indexing.common.TaskToolbox::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.common.TaskToolbox__1.diff,444.35,126.13,86995,False
ServiceEmitter::1,SUCCESS,0,True,False,LOW,diffs/ServiceEmitter__1.diff,257.89,92.23,57094,False
org.apache.druid.msq.counters.CounterTracker::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.msq.counters.CounterTracker__1.diff,502.48,6.18,25627,False
org.apache.druid.query.filter.ColumnIndexSelector::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/org.apache.druid.query.filter.ColumnIndexSelector__1.diff,186.85,46.79,29510,False
org.apache.druid.indexing.common.config.TaskConfig::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.common.config.TaskConfig__1.diff,240.97,80.22,73899,False
org.apache.druid.msq.exec.RunWorkOrderListener::1,SUCCESS,0,True,False,HIGH,diffs/org.apache.druid.msq.exec.RunWorkOrderListener__1.diff,243.82,18.58,36419,False
StatsDClient::1,SUCCESS,0,True,False,LOW,diffs/StatsDClient__1.diff,213.17,5.83,36679,False
org.apache.druid.server.coordinator.DruidCoordinatorRuntimeParams::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.server.coordinator.DruidCoordinatorRuntimeParams__1.diff,222.65,19.77,29693,False
org.apache.druid.indexing.common.task.TaskResource::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.common.task.TaskResource__1.diff,276.71,15.51,41337,False
org.apache.druid.indexing.seekablestream.supervisor.SeekableStreamSupervisor::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.seekablestream.supervisor.SeekableStreamSupervisor__1.diff,280.11,36.22,41918,False
"org.apache.druid.indexing.seekablestream.SeekableStreamIndexTaskIOConfig<java.lang.String, java.lang.String>::1",SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.seekablestream.SeekableStreamIndexTaskIOConfig_java.lang.String__java.lang.String___1.diff,328.09,75.08,76274,False
HttpServletRequest::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/HttpServletRequest__1.diff,507.8,134.85,83884,False
HttpServletRequest::2,SUCCESS,1,True,False,LOW,diffs/HttpServletRequest__2.diff,760.15,26.85,69987,False
org.apache.druid.indexing.overlord.autoscaling.ProvisioningSchedulerConfig::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.overlord.autoscaling.ProvisioningSchedulerConfig__1.diff,221.75,14.59,27284,False
org.apache.druid.msq.kernel.WorkOrder::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.msq.kernel.WorkOrder__1.diff,229.96,5.08,25492,False
org.apache.druid.indexing.common.actions.TaskActionClient::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/org.apache.druid.indexing.common.actions.TaskActionClient__1.diff,154.9,85.84,46849,False
org.apache.druid.rpc.indexing.OverlordClient::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.rpc.indexing.OverlordClient__1.diff,235.66,7.48,87208,False
Injector::1,SUCCESS,0,True,False,LOW,diffs/Injector__1.diff,284.98,69.63,50123,False
Injector::2,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/Injector__2.diff,590.91,56.35,38952,False
org.apache.druid.indexing.common.task.Task::1,SUCCESS,0,True,False,HIGH,diffs/org.apache.druid.indexing.common.task.Task__1.diff,167.24,36.96,44520,False
org.apache.druid.indexing.overlord.TaskRunner::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.overlord.TaskRunner__1.diff,259.23,7.51,25134,False
org.apache.druid.indexing.overlord.TaskRunner::2,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.overlord.TaskRunner__2.diff,245.94,8.46,22491,False
Binding<SslContextFactory.Server>::1,SUCCESS,0,True,False,LOW,diffs/Binding_SslContextFactory.Server___1.diff,201.68,75.04,47042,False
ObjectMapper::1,SUCCESS,0,True,False,LOW,diffs/ObjectMapper__1.diff,171.52,5.17,18628,False
org.apache.druid.server.security.TLSCertificateChecker::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.server.security.TLSCertificateChecker__1.diff,148.04,6.03,28142,False
org.apache.druid.msq.exec.ControllerContext::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.msq.exec.ControllerContext__1.diff,497.84,34.9,37595,False
org.apache.druid.client.indexing.ClientCompactionTaskQueryTuningConfig::1,SUCCESS,0,True,False,HIGH,diffs/org.apache.druid.client.indexing.ClientCompactionTaskQueryTuningConfig__1.diff,186.57,53.91,83609,False
org.apache.druid.segment.vector.VectorColumnSelectorFactory::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/org.apache.druid.segment.vector.VectorColumnSelectorFactory__1.diff,263.75,112.1,36123,False
org.apache.druid.query.aggregation.AggregatorAdapters::1,SUCCESS,1,True,False,LOW,diffs/org.apache.druid.query.aggregation.AggregatorAdapters__1.diff,357.34,31.64,44608,False
org.apache.druid.query.aggregation.AggregatorAdapters::2,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.query.aggregation.AggregatorAdapters__2.diff,121.25,10.24,22929,False
org.apache.druid.java.util.metrics.DruidMonitorSchedulerConfig::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.java.util.metrics.DruidMonitorSchedulerConfig__1.diff,190.87,87.7,51670,False
