mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
org.apache.druid.indexing.common.TaskToolbox::1,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/org.apache.druid.indexing.common.TaskToolbox__1.diff,570.49,68.77,50458,False
ServiceEmitter::1,SUCCESS,0,True,False,LOW,diffs/ServiceEmitter__1.diff,169.96,59.37,46433,False
org.apache.druid.msq.counters.CounterTracker::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.msq.counters.CounterTracker__1.diff,445.88,5.08,26276,False
org.apache.druid.query.filter.ColumnIndexSelector::1,SUCCESS,1,True,False,LOW,diffs/org.apache.druid.query.filter.ColumnIndexSelector__1.diff,186.63,37.52,47425,False
org.apache.druid.indexing.common.config.TaskConfig::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.common.config.TaskConfig__1.diff,166.93,57.47,64482,False
org.apache.druid.msq.exec.RunWorkOrderListener::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.msq.exec.RunWorkOrderListener__1.diff,179.3,6.74,28670,False
StatsDClient::1,SUCCESS,0,True,False,LOW,diffs/StatsDClient__1.diff,169.78,8.13,36674,False
org.apache.druid.server.coordinator.DruidCoordinatorRuntimeParams::1,SUCCESS,1,True,False,LOW,diffs/org.apache.druid.server.coordinator.DruidCoordinatorRuntimeParams__1.diff,226.89,25.49,37026,False
org.apache.druid.indexing.common.task.TaskResource::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.common.task.TaskResource__1.diff,207.58,17.29,41403,False
org.apache.druid.indexing.seekablestream.supervisor.SeekableStreamSupervisor::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.seekablestream.supervisor.SeekableStreamSupervisor__1.diff,211.57,27.25,41742,False
"org.apache.druid.indexing.seekablestream.SeekableStreamIndexTaskIOConfig<java.lang.String, java.lang.String>::1",SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.seekablestream.SeekableStreamIndexTaskIOConfig_java.lang.String__java.lang.String___1.diff,246.84,58.23,75972,False
HttpServletRequest::1,SUCCESS,0,True,False,LOW,diffs/HttpServletRequest__1.diff,1961.55,929.05,346966,False
HttpServletRequest::2,SUCCESS,0,True,False,LOW,diffs/HttpServletRequest__2.diff,430.99,38.23,80420,False
org.apache.druid.indexing.overlord.autoscaling.ProvisioningSchedulerConfig::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.overlord.autoscaling.ProvisioningSchedulerConfig__1.diff,186.37,13.59,27390,False
org.apache.druid.msq.kernel.WorkOrder::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.msq.kernel.WorkOrder__1.diff,180.23,6.59,26458,False
org.apache.druid.indexing.common.actions.TaskActionClient::1,FAILED_SYNTACTIC_VALIDITY,2,True,False,SKIPPED,diffs/org.apache.druid.indexing.common.actions.TaskActionClient__1.diff,218.07,65.56,49508,False
org.apache.druid.rpc.indexing.OverlordClient::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.rpc.indexing.OverlordClient__1.diff,174.7,8.28,87522,False
Injector::1,SUCCESS,0,True,False,LOW,diffs/Injector__1.diff,417.96,175.96,94614,False
Injector::2,SUCCESS,0,True,False,LOW,diffs/Injector__2.diff,932.6,300.27,132737,False
org.apache.druid.indexing.common.task.Task::1,SUCCESS,1,True,False,LOW,diffs/org.apache.druid.indexing.common.task.Task__1.diff,164.82,25.81,49615,False
org.apache.druid.indexing.overlord.TaskRunner::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.overlord.TaskRunner__1.diff,193.55,9.82,25462,False
org.apache.druid.indexing.overlord.TaskRunner::2,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.indexing.overlord.TaskRunner__2.diff,197.76,8.76,22573,False
Binding<SslContextFactory.Server>::1,SUCCESS,1,True,False,LOW,diffs/Binding_SslContextFactory.Server___1.diff,485.36,135.99,92933,False
