mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
Response::1,SUCCESS,0,True,False,LOW,diffs/Response__1.diff,158.96,35.15,25140,False
var::1,SUCCESS,0,True,False,LOW,diffs/var__1.diff,32.57,9.32,42505,False
java.net.ProxySelector::1,SUCCESS,0,True,False,LOW,diffs/java.net.ProxySelector__1.diff,41.59,28.7,26609,False
var::2,SUCCESS,0,True,False,LOW,diffs/var__2.diff,22.59,10.46,10134,False
var::3,SUCCESS,0,True,False,LOW,diffs/var__3.diff,38.42,28.02,19973,False
var::4,SUCCESS,0,True,False,LOW,diffs/var__4.diff,33.02,22.38,18738,False
com.microsoft.kiota.serialization.SerializationWriter::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/com.microsoft.kiota.serialization.SerializationWriter__1.diff,38.5,27.65,23741,False
com.microsoft.kiota.serialization.SerializationWriter::2,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.SerializationWriter__2.diff,24.79,5.66,10625,False
Request::1,SUCCESS,0,True,False,LOW,diffs/Request__1.diff,52.46,40.92,24209,False
com.microsoft.kiota.RequestAdapter::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.RequestAdapter__1.diff,18.67,7.7,8616,False
com.microsoft.kiota.http.middleware.options.RetryHandlerOption::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.http.middleware.options.RetryHandlerOption__1.diff,42.22,31.24,22787,False
Span::1,SUCCESS,0,True,False,LOW,diffs/Span__1.diff,15.71,4.92,10862,False
com.microsoft.kiota.serialization.ParseNodeFactory::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.ParseNodeFactory__1.diff,42.02,32.13,23185,False
com.microsoft.kiota.serialization.ParseNode::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.ParseNode__1.diff,31.7,21.86,17035,False
