mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
Response::1,SUCCESS,0,True,False,LOW,diffs/Response__1.diff,0.79,,0,True
java.net.ProxySelector::1,SUCCESS,0,True,False,LOW,diffs/java.net.ProxySelector__1.diff,532.39,30.82,60018,False
var::1,SUCCESS,0,True,False,LOW,diffs/var__1.diff,1153.16,8.84,94745,False
var::2,SUCCESS,0,True,False,LOW,diffs/var__2.diff,158.59,7.51,22143,False
var::3,SUCCESS,0,True,False,LOW,diffs/var__3.diff,190.74,15.52,36571,False
var::4,SUCCESS,0,True,False,LOW,diffs/var__4.diff,111.6,18.13,37759,False
com.microsoft.kiota.serialization.SerializationWriter::2,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.SerializationWriter__2.diff,169.27,5.94,62343,False
com.microsoft.kiota.serialization.SerializationWriter::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.SerializationWriter__1.diff,269.24,5.97,71592,False
Request::1,SUCCESS,0,True,False,LOW,diffs/Request__1.diff,134.9,24.49,52639,False
com.microsoft.kiota.RequestAdapter::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.RequestAdapter__1.diff,95.98,6.33,60393,False
com.microsoft.kiota.http.middleware.options.RetryHandlerOption::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.http.middleware.options.RetryHandlerOption__1.diff,131.51,20.9,54499,False
Span::1,SUCCESS,0,True,False,LOW,diffs/Span__1.diff,117.59,9.06,43139,False
com.microsoft.kiota.serialization.ParseNodeFactory::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.ParseNodeFactory__1.diff,158.43,22.41,41672,False
com.microsoft.kiota.serialization.ParseNode::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.ParseNode__1.diff,82.41,16.25,35852,False
