mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
Response::1,SUCCESS,0,True,False,LOW,diffs/Response__1.diff,77.88,22.98,50615,False
java.net.ProxySelector::1,SUCCESS,0,True,False,LOW,diffs/java.net.ProxySelector__1.diff,140.21,21.36,52947,False
var::1,FAILED_BEHAVIORAL_EQUIVALENCE,0,True,False,SKIPPED,diffs/var__1.diff,226.2,6.36,15804,False
var::2,SUCCESS,0,True,False,LOW,diffs/var__2.diff,33.76,6.8,15310,False
var::3,SUCCESS,0,True,False,LOW,diffs/var__3.diff,62.29,14.42,29638,False
var::4,SUCCESS,0,True,False,LOW,diffs/var__4.diff,93.77,18.16,30973,False
com.microsoft.kiota.serialization.SerializationWriter::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.SerializationWriter__1.diff,82.05,4.95,64735,False
com.microsoft.kiota.serialization.SerializationWriter::2,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.SerializationWriter__2.diff,31.48,4.14,55351,False
Request::1,SUCCESS,0,True,False,LOW,diffs/Request__1.diff,48.51,14.77,45776,False
com.microsoft.kiota.RequestAdapter::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.RequestAdapter__1.diff,29.33,5.08,53370,False
com.microsoft.kiota.http.middleware.options.RetryHandlerOption::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.http.middleware.options.RetryHandlerOption__1.diff,75.45,17.23,47692,False
Span::1,SUCCESS,0,True,False,LOW,diffs/Span__1.diff,41.11,5.25,36319,False
com.microsoft.kiota.serialization.ParseNodeFactory::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.ParseNodeFactory__1.diff,37.23,17.25,34802,False
