mciId,file,method,beforeCCTR,afterCCTR,delta,pctReduction
java.net.ProxySelector::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/middleware/RedirectHandlerTests.java,sameHostRedirectKeepsAllHeaders,8,5,-3,37.5
java.net.ProxySelector::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/middleware/RedirectHandlerTests.java,crossHostRedirectWithProxyKeepsProxyAuth,8,5,-3,37.5
java.net.ProxySelector::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/middleware/RedirectHandlerTests.java,crossHostRedirectWithDirectProxyStripsProxyAuth,8,5,-3,37.5
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,sendStreamReturnsUsableStream,4,3,-1,25.0
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,sendStreamReturnsNullOnNoContent,2,1,-1,50.0
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,sendReturnsNullOnNoContent,2,1,-1,50.0
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,sendReturnsObjectOnContent,2,1,-1,50.0
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,throwsAPIException,14,13,-1,7.1
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,getRequestFromRequestInformationHasCorrectContentLength_JsonPayload,9,8,-1,11.1
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,getRequestFromRequestInformationIncludesContentLength_FilePayload,9,8,-1,11.1
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,getRequestFromRequestInformationWithoutContentLengthOverrideForStreamBody,8,7,-1,12.5
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,getRequestFromRequestInformationWithoutContentLengthOverrideForJsonPayload,8,7,-1,12.5
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,getRequestFromRequestInformationWithoutContentLengthOverrideWithEmptyPayload,6,5,-1,16.7
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,buildsNativeRequestSupportingMultipleWrites,7,6,-1,14.3
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,buildsNativeRequestSupportingOneShotWrite,7,6,-1,14.3
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,loggingInterceptorDoesNotDrainRequestBodyForMarkableStreams,3,2,-1,33.3
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,loggingInterceptorDoesNotDrainRequestBodyForNonMarkableStreams,3,2,-1,33.3
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,testHandle3XXResponseWithoutLocationHeader,2,1,-1,50.0
var::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/OkHttpRequestAdapterTest.java,handle3XXResponseWithLocationHeader,2,1,-1,50.0
var::2,components/authentication/azure/src/test/java/com/microsoft/kiota/authentication/AzureIdentityAccessTokenProviderTest.java,testNonLocalhostHttpUrlIsInvalid,2,1,-1,50.0
var::2,components/authentication/azure/src/test/java/com/microsoft/kiota/authentication/AzureIdentityAccessTokenProviderTest.java,testKeepUserProvidedScopes,2,1,-1,50.0
var::2,components/authentication/azure/src/test/java/com/microsoft/kiota/authentication/AzureIdentityAccessTokenProviderTest.java,testConfigureDefaultScopeWhenScopesNotProvided,2,1,-1,50.0
var::2,components/authentication/azure/src/test/java/com/microsoft/kiota/authentication/AzureIdentityAccessTokenProviderTest.java,testConfigureDefaultScopeWhenScopesNullOrEmpty,2,1,-1,50.0
var::3,components/abstractions/src/test/java/com/microsoft/kiota/serialization/SerializationHelpersTest.java,serializesObject,9,6,-3,33.3
var::3,components/abstractions/src/test/java/com/microsoft/kiota/serialization/SerializationHelpersTest.java,serializesObjectCollection,9,6,-3,33.3
var::4,components/abstractions/src/test/java/com/microsoft/kiota/serialization/SerializationHelpersTest.java,serializesObject,9,6,-3,33.3
var::4,components/abstractions/src/test/java/com/microsoft/kiota/serialization/SerializationHelpersTest.java,serializesObjectCollection,9,6,-3,33.3
com.microsoft.kiota.serialization.SerializationWriter::1,components/abstractions/src/test/java/com/microsoft/kiota/MultiPartBodyTest.java,requiresRequestAdapter,2,1,-1,50.0
com.microsoft.kiota.serialization.SerializationWriter::1,components/abstractions/src/test/java/com/microsoft/kiota/MultiPartBodyTest.java,requiresPartsForSerialization,3,2,-1,33.3
com.microsoft.kiota.serialization.SerializationWriter::1,components/abstractions/src/test/java/com/microsoft/kiota/MultiPartBodyTest.java,notAddFilename,4,3,-1,25.0
com.microsoft.kiota.serialization.SerializationWriter::1,components/abstractions/src/test/java/com/microsoft/kiota/MultiPartBodyTest.java,addFilename,4,3,-1,25.0
com.microsoft.kiota.serialization.SerializationWriter::2,components/abstractions/src/test/java/com/microsoft/kiota/RequestInformationTest.java,SetsParsableContent,5,4,-1,20.0
com.microsoft.kiota.serialization.SerializationWriter::2,components/abstractions/src/test/java/com/microsoft/kiota/RequestInformationTest.java,SetsParsableContentCollection,5,4,-1,20.0
com.microsoft.kiota.serialization.SerializationWriter::2,components/abstractions/src/test/java/com/microsoft/kiota/RequestInformationTest.java,SetsScalarContentCollection,5,4,-1,20.0
com.microsoft.kiota.serialization.SerializationWriter::2,components/abstractions/src/test/java/com/microsoft/kiota/RequestInformationTest.java,SetsScalarContent,5,4,-1,20.0
com.microsoft.kiota.serialization.SerializationWriter::2,components/abstractions/src/test/java/com/microsoft/kiota/RequestInformationTest.java,SetsBoundaryOnMultipartBody,4,3,-1,25.0
Request::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/middleware/RetryHandlerTest.java,testRetryRequestHandlesNegativeRetryInterval,19,14,-5,26.3
Request::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/middleware/RetryHandlerTest.java,testRetryRequestWithNegativeRetryIntervalAppliesRandomDelay,21,16,-5,23.8
com.microsoft.kiota.RequestAdapter::1,components/abstractions/src/test/java/com/microsoft/kiota/MultiPartBodyTest.java,requiresPartsForSerialization,3,2,-1,33.3
com.microsoft.kiota.RequestAdapter::1,components/abstractions/src/test/java/com/microsoft/kiota/MultiPartBodyTest.java,addsPart,3,2,-1,33.3
com.microsoft.kiota.RequestAdapter::1,components/abstractions/src/test/java/com/microsoft/kiota/MultiPartBodyTest.java,removesPart,2,1,-1,50.0
com.microsoft.kiota.http.middleware.options.RetryHandlerOption::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/middleware/RetryHandlerTest.java,testRetryRequestHandlesNegativeRetryInterval,19,12,-7,36.8
com.microsoft.kiota.http.middleware.options.RetryHandlerOption::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/middleware/RetryHandlerTest.java,testRetryRequestWithNegativeRetryIntervalAppliesRandomDelay,21,14,-7,33.3
Span::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/middleware/RetryHandlerTest.java,testRetryRequestHandlesNegativeRetryInterval,19,18,-1,5.3
Span::1,components/http/okHttp/src/test/java/com/microsoft/kiota/http/middleware/RetryHandlerTest.java,testRetryRequestWithNegativeRetryIntervalAppliesRandomDelay,21,20,-1,4.8
com.microsoft.kiota.serialization.ParseNodeFactory::1,components/abstractions/src/test/java/com/microsoft/kiota/serialization/DeserializationHelpersTest.java,deserializesObjectWithoutReflection,7,4,-3,42.9
com.microsoft.kiota.serialization.ParseNodeFactory::1,components/abstractions/src/test/java/com/microsoft/kiota/serialization/DeserializationHelpersTest.java,deserializesObjectWithReflection,7,4,-3,42.9
com.microsoft.kiota.serialization.ParseNodeFactory::1,components/abstractions/src/test/java/com/microsoft/kiota/serialization/DeserializationHelpersTest.java,deserializesCollectionOfObjects,7,4,-3,42.9
com.microsoft.kiota.serialization.ParseNode::1,components/abstractions/src/test/java/com/microsoft/kiota/serialization/DeserializationHelpersTest.java,deserializesObjectWithoutReflection,7,4,-3,42.9
com.microsoft.kiota.serialization.ParseNode::1,components/abstractions/src/test/java/com/microsoft/kiota/serialization/DeserializationHelpersTest.java,deserializesObjectWithReflection,7,4,-3,42.9
