09-22 14:04:33 supervisor up; runner pid 8304
09-22 16:26:25 supervisor up; runner pid 27096
09-22 16:50:25 runner had exited (code None); restarted as pid 24404 [1 restart(s) in the last 10 min]
09-22 16:54:07 supervisor up; runner pid 20064
09-22 17:02:57 supervisor up; runner pid 24784
09-22 17:07:13 supervisor up; runner pid 496
09-23 06:06:15 supervisor up; runner pid 29428
09-23 13:16:23 runner had exited (code None); restarted as pid 28812 [1 restart(s) in the last 10 min]
09-23 13:23:04 supervisor up; runner pid 31452
09-23 14:11:31 supervisor up; runner pid 6576
09-23 14:51:46 supervisor up; runner pid 28192
09-23 15:07:58 supervisor up; runner pid 25156
09-23 15:25:51 supervisor up; runner pid 5612
09-23 15:33:25 supervisor up; runner pid 25052
09-23 16:07:58 supervisor up; runner pid 31512
09-23 16:13:42 supervisor up; runner pid 10788
09-23 16:59:26 supervisor up; runner pid 6968
09-23 18:08:44 supervisor up; runner pid 27740
09-23 20:07:44 runner exited after finishing the tail; supervisor done
09-23 20:40:16 supervisor up; runner pid 31256
09-23 21:42:16 runner had exited (code None); restarted as pid 2384 [1 restart(s) in the last 10 min]
