09-24 02:45:10 pair run: kiota-java-1.10.0, 14 MCIs, 13 to do, model gpt-5.6-luna
09-24 02:45:43   V2 java.net.ProxySelector::1: MODEL_DECLINED  model 24.31s (2 calls), audit 0s, total 33s, baseline run  | 
09-24 02:46:06   V1 java.net.ProxySelector::1: MODEL_DECLINED  model 22.52s (4 calls), audit 0s, total 23s, baseline run  | 
09-24 02:46:39   V2 var::1: SUCCESS  model 9.15s (2 calls), audit 4.72s, total 33s, baseline run
09-24 02:46:43   V1 var::1: MODEL_DECLINED  model 3.76s (1 calls), audit 0s, total 4s, baseline run  | 
09-24 02:47:37 pair run: kiota-java-1.10.0, 14 MCIs, 13 to do, model gpt-5.6-luna
09-24 02:48:19   V2 java.net.ProxySelector::1: SUCCESS  model 28.59s (5 calls), audit 2.68s, total 42s, baseline reused
09-24 02:48:42   V1 java.net.ProxySelector::1: MODEL_DECLINED  model 23.51s (4 calls), audit 0s, total 24s, baseline -  | Model's edits could not be applied / æ¨¡å‹ç»™å‡ºçš„ç¼–è¾‘æ— æ³•åº”ç”¨: V1 output could not be written back: components\http\okHttp\src\test\java\com\microsoft\kiota\http\middleware\
09-24 02:48:46   V1 var::1: MODEL_DECLINED  model 3.92s (1 calls), audit 0s, total 4s, baseline -  | V1: encapsulation reply unusable (KeyError)
09-24 02:49:09   V2 var::2: SUCCESS  model 10.43s (2 calls), audit 2.88s, total 23s, baseline reused
09-24 02:49:12   V1 var::2: MODEL_DECLINED  model 2.67s (1 calls), audit 0s, total 3s, baseline -  | V1: encapsulation reply unusable (KeyError)
09-24 02:49:53 pair run: kiota-java-1.10.0, 14 MCIs, 10 to do, model gpt-5.6-luna
09-24 02:50:32   V2 var::3: SUCCESS  model 27.92s (5 calls), audit 2.49s, total 39s, baseline reused
09-24 02:50:50   V1 var::3: FAILED_SYNTACTIC_VALIDITY  model 18.22s (3 calls), audit 0s, total 18s, baseline -  | Model's edits could not be applied / æ¨¡å‹ç»™å‡ºçš„ç¼–è¾‘æ— æ³•åº”ç”¨: V1 output could not be written back: components\abstractions\src\test\java\com\microsoft\kiota\serialization\S
09-24 02:51:23   V2 var::4: SUCCESS  model 22.34s (4 calls), audit 2.67s, total 33s, baseline reused
09-24 02:51:45   V1 var::4: FAILED_SYNTACTIC_VALIDITY  model 21.05s (3 calls), audit 0s, total 21s, baseline -  | Model's edits could not be applied / æ¨¡å‹ç»™å‡ºçš„ç¼–è¾‘æ— æ³•åº”ç”¨: V1 output could not be written back: components\abstractions\src\test\java\com\microsoft\kiota\serialization\S
09-24 02:53:13 pair run: kiota-java-1.10.0, 14 MCIs, 8 to do, model gpt-5.6-luna
09-24 02:53:52   V2 com.microsoft.kiota.serialization.SerializationWriter::1: FAILED_SYNTACTIC_VALIDITY  model 35.64s (7 calls), audit 0s, total 39s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 02:53:55   V1 com.microsoft.kiota.serialization.SerializationWriter::1: FAILED_SYNTACTIC_VALIDITY  model 3.9s (1 calls), audit 0s, total 4s, baseline -  | Model's edits could not be applied / æ¨¡å‹ç»™å‡ºçš„ç¼–è¾‘æ— æ³•åº”ç”¨: V1 output could not be written back: encapsulation reply unusable (KeyError: 'newFieldValueName')
09-24 02:54:20   V2 com.microsoft.kiota.serialization.SerializationWriter::2: SUCCESS  model 5.64s (2 calls), audit 4.88s, total 25s, baseline -
09-24 02:54:23   V1 com.microsoft.kiota.serialization.SerializationWriter::2: FAILED_SYNTACTIC_VALIDITY  model 2.19s (1 calls), audit 0s, total 2s, baseline -  | Model's edits could not be applied / æ¨¡å‹ç»™å‡ºçš„ç¼–è¾‘æ— æ³•åº”ç”¨: V1 output could not be written back: encapsulation reply unusable (KeyError: 'newFieldValueName')
09-24 02:56:52 pair run: kiota-java-1.10.0, 14 MCIs, 13 to do, model gpt-5.6-luna
09-24 02:57:26   V1 java.net.ProxySelector::1: SUCCESS  model 22.23s (5 calls), audit 2.83s, total 34s, baseline reused
09-24 02:59:00   V1 var::1: FAILED_SYNTACTIC_VALIDITY  model 94.36s (17 calls), audit 0s, total 94s, baseline -  | Model's edits could not be applied / æ¨¡å‹ç»™å‡ºçš„ç¼–è¾‘æ— æ³•åº”ç”¨: V1 output could not be written back: components\http\okHttp\src\test\java\com\microsoft\kiota\http\OkHttpReque
09-24 02:59:30   V1 var::2: FAILED_BEHAVIORAL_EQUIVALENCE  model 22.8s (5 calls), audit 0s, total 29s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 02:59:45   V1 var::3: FAILED_SYNTACTIC_VALIDITY  model 15.08s (3 calls), audit 0s, total 15s, baseline -  | Model's edits could not be applied / æ¨¡å‹ç»™å‡ºçš„ç¼–è¾‘æ— æ³•åº”ç”¨: V1 output could not be written back: components\abstractions\src\test\java\com\microsoft\kiota\serialization\S
09-24 03:00:03   V1 var::4: FAILED_SYNTACTIC_VALIDITY  model 17.93s (3 calls), audit 0s, total 18s, baseline -  | Model's edits could not be applied / æ¨¡å‹ç»™å‡ºçš„ç¼–è¾‘æ— æ³•åº”ç”¨: V1 output could not be written back: components\abstractions\src\test\java\com\microsoft\kiota\serialization\S
09-24 03:00:43   V1 com.microsoft.kiota.serialization.SerializationWriter::1: FAILED_SYNTACTIC_VALIDITY  model 37.7s (6 calls), audit 0s, total 40s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 03:01:09   V1 com.microsoft.kiota.serialization.SerializationWriter::2: FAILED_SYNTACTIC_VALIDITY  model 23.27s (5 calls), audit 0s, total 26s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 03:02:01   V2 Request::1: SUCCESS  model 40.89s (5 calls), audit 2.73s, total 52s, baseline reused
09-24 03:02:32   V1 Request::1: SUCCESS  model 21.31s (4 calls), audit 2.11s, total 31s, baseline reused
09-24 03:03:00 pair run: kiota-java-1.10.0, 14 MCIs, 8 to do, model gpt-5.6-luna
09-24 03:04:47   V1 var::1: FAILED_SYNTACTIC_VALIDITY  model 103.76s (17 calls), audit 0s, total 107s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
