mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
org.springframework.integration.ip.tcp.connection.TcpNioConnectionSupport::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.ip.tcp.connection.TcpNioConnectionSupport__1.diff,93.26,10.4,11776,False
WebServiceMessageFactory::1,SUCCESS,0,True,False,LOW,diffs/WebServiceMessageFactory__1.diff,44.71,10.13,14560,False
Session<FTPFile>::1,SUCCESS,0,True,False,LOW,diffs/Session_FTPFile___1.diff,57.97,21.62,20271,False
Session<FTPFile>::2,SUCCESS,0,True,False,LOW,diffs/Session_FTPFile___2.diff,31.3,11.28,13847,False
org.springframework.integration.file.remote.session.SessionFactory::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/org.springframework.integration.file.remote.session.SessionFactory__1.diff,179.21,142.38,74750,False
org.springframework.integration.file.remote.session.SessionFactory::2,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/org.springframework.integration.file.remote.session.SessionFactory__2.diff,189.05,170.01,78958,False
org.springframework.integration.file.remote.session.SessionFactory::3,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.file.remote.session.SessionFactory__3.diff,104.59,85.6,46187,False
org.springframework.integration.file.remote.session.SessionFactory::4,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.file.remote.session.SessionFactory__4.diff,31.13,13.36,27733,False
Store::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/Store__1.diff,134.69,39.37,27881,False
Store::2,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/Store__2.diff,54.32,41.75,36653,False
org.springframework.integration.file.remote.RemoteFileTemplate<java.lang.String>::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.file.remote.RemoteFileTemplate_java.lang.String___1.diff,61.76,33.17,25875,False
WebSocketSession::1,SUCCESS,0,True,False,LOW,diffs/WebSocketSession__1.diff,59.13,29.93,18369,False
java.util.Comparator<java.lang.String>::1,SUCCESS,0,True,False,LOW,diffs/java.util.Comparator_java.lang.String___1.diff,25.76,8.15,12564,False
java.net.InetAddress::1,SUCCESS,0,True,False,LOW,diffs/java.net.InetAddress__1.diff,33.68,7.0,18457,False
org.springframework.integration.ip.tcp.connection.TcpSocketFactorySupport::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.ip.tcp.connection.TcpSocketFactorySupport__1.diff,24.16,7.36,11638,False
