mciId,file,method,beforeCCTR,afterCCTR,delta,pctReduction
WebServiceMessageFactory::1,spring-integration-ws/src/test/java/org/springframework/integration/ws/dsl/WsDslTests.java,marshallingOutbound,39,38,-1,2.6
WebServiceMessageFactory::1,spring-integration-ws/src/test/java/org/springframework/integration/ws/dsl/WsDslTests.java,simpleOutbound,37,36,-1,2.7
org.springframework.integration.ip.tcp.connection.TcpNioConnectionSupport::1,spring-integration-ip/src/test/java/org/springframework/integration/ip/dsl/ConnectionFactoryTests.java,nioCustomServer,8,7,-1,12.5
org.springframework.integration.ip.tcp.connection.TcpNioConnectionSupport::1,spring-integration-ip/src/test/java/org/springframework/integration/ip/dsl/ConnectionFactoryTests.java,nioCustomClient,8,7,-1,12.5
Session<FTPFile>::1,spring-integration-ftp/src/test/java/org/springframework/integration/ftp/session/SessionFactoryTests.java,testStaleConnection,13,7,-6,46.2
Session<FTPFile>::2,spring-integration-ftp/src/test/java/org/springframework/integration/ftp/session/SessionFactoryTests.java,testSameSessionFromThePool,8,7,-1,12.5
Session<FTPFile>::2,spring-integration-ftp/src/test/java/org/springframework/integration/ftp/session/SessionFactoryTests.java,testSessionWaitExpire,6,5,-1,16.7
org.springframework.integration.file.remote.session.SessionFactory::1,spring-integration-file/src/test/java/org/springframework/integration/file/remote/gateway/RemoteFileOutboundGatewayTests.java,testMGetWildGuts,23,20,-3,13.0
org.springframework.integration.file.remote.session.SessionFactory::1,spring-integration-file/src/test/java/org/springframework/integration/file/remote/gateway/RemoteFileOutboundGatewayTests.java,testMGetSingle,11,8,-3,27.3
org.springframework.integration.file.remote.session.SessionFactory::1,spring-integration-file/src/test/java/org/springframework/integration/file/remote/gateway/RemoteFileOutboundGatewayTests.java,testMGetEmpty,5,2,-3,60.0
org.springframework.integration.file.remote.session.SessionFactory::1,spring-integration-file/src/test/java/org/springframework/integration/file/remote/gateway/RemoteFileOutboundGatewayTests.java,testGet,11,8,-3,27.3
org.springframework.integration.file.remote.session.SessionFactory::1,spring-integration-file/src/test/java/org/springframework/integration/file/remote/gateway/RemoteFileOutboundGatewayTests.java,testGetExists,18,15,-3,16.7
org.springframework.integration.file.remote.session.SessionFactory::1,spring-integration-file/src/test/java/org/springframework/integration/file/remote/gateway/RemoteFileOutboundGatewayTests.java,testGetExistsExpression,18,15,-3,16.7
org.springframework.integration.file.remote.session.SessionFactory::1,spring-integration-file/src/test/java/org/springframework/integration/file/remote/gateway/RemoteFileOutboundGatewayTests.java,testGet_P,13,10,-3,23.1
org.springframework.integration.file.remote.session.SessionFactory::1,spring-integration-file/src/test/java/org/springframework/integration/file/remote/gateway/RemoteFileOutboundGatewayTests.java,testGet_create_dir,5,2,-3,60.0
org.springframework.integration.file.remote.session.SessionFactory::2,spring-integration-file/src/test/java/org/springframework/integration/file/remote/gateway/RemoteFileOutboundGatewayTests.java,testLs,16,13,-3,18.8
org.springframework.integration.file.remote.session.SessionFactory::2,spring-integration-file/src/test/java/org/springframework/integration/file/remote/gateway/RemoteFileOutboundGatewayTests.java,testLs_f,16,13,-3,18.8
org.springframework.integration.file.remote.session.SessionFactory::2,spring-integration-file/src/test/java/org/springframework/integration/file/remote/gateway/RemoteFileOutboundGatewayTests.java,testLs_f_R,24,21,-3,12.5
org.springframework.integration.file.remote.session.SessionFactory::2,spring-integration-file/src/test/java/org/springframework/integration/file/remote/gateway/RemoteFileOutboundGatewayTests.java,testLs_f_R_dirs,28,25,-3,10.7
