mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
WebServiceMessageFactory::1,SUCCESS,0,True,False,LOW,diffs/WebServiceMessageFactory__1.diff,0.16,,0,True
org.springframework.integration.ip.tcp.connection.TcpNioConnectionSupport::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.ip.tcp.connection.TcpNioConnectionSupport__1.diff,80.68,24.06,17925,False
Session<FTPFile>::1,SUCCESS,0,True,False,LOW,diffs/Session_FTPFile___1.diff,101.36,46.29,31889,False
Session<FTPFile>::2,SUCCESS,0,True,False,LOW,diffs/Session_FTPFile___2.diff,51.12,24.56,20747,False
org.springframework.integration.file.remote.session.SessionFactory::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.file.remote.session.SessionFactory__1.diff,372.0,307.41,169072,False
org.springframework.integration.file.remote.session.SessionFactory::2,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.file.remote.session.SessionFactory__2.diff,245.77,217.11,142980,False
org.springframework.integration.file.remote.session.SessionFactory::3,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.file.remote.session.SessionFactory__3.diff,146.91,124.59,77240,False
org.springframework.integration.file.remote.session.SessionFactory::4,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.file.remote.session.SessionFactory__4.diff,40.06,19.86,34478,False
Store::1,SUCCESS,1,True,False,LOW,diffs/Store__1.diff,290.55,92.03,64198,False
Store::2,FAILED_BEHAVIORAL_EQUIVALENCE,0,True,False,SKIPPED,diffs/Store__2.diff,155.48,92.25,54965,False
org.springframework.integration.file.remote.RemoteFileTemplate<java.lang.String>::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.file.remote.RemoteFileTemplate_java.lang.String___1.diff,83.29,44.91,34944,False
WebSocketSession::1,SUCCESS,0,True,False,LOW,diffs/WebSocketSession__1.diff,63.51,23.48,22880,False
java.util.Comparator<java.lang.String>::1,SUCCESS,0,True,False,LOW,diffs/java.util.Comparator_java.lang.String___1.diff,40.96,19.37,17587,False
java.net.InetAddress::1,SUCCESS,0,True,False,LOW,diffs/java.net.InetAddress__1.diff,46.56,9.47,21966,False
org.springframework.integration.ip.tcp.connection.TcpSocketFactorySupport::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.ip.tcp.connection.TcpSocketFactorySupport__1.diff,50.19,25.33,18380,False
org.springframework.integration.ip.tcp.connection.TcpSocketFactorySupport::2,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.ip.tcp.connection.TcpSocketFactorySupport__2.diff,64.96,23.51,33677,False
org.springframework.integration.file.remote.session.Session<?>::1,SUCCESS,1,True,False,LOW,diffs/org.springframework.integration.file.remote.session.Session_____1.diff,119.41,83.55,72055,False
java.nio.channels.SocketChannel::1,SUCCESS,0,True,False,LOW,diffs/java.nio.channels.SocketChannel__1.diff,160.23,106.61,80355,False
java.nio.channels.SocketChannel::2,SUCCESS,0,True,False,LOW,diffs/java.nio.channels.SocketChannel__2.diff,221.36,164.91,118632,False
org.springframework.integration.support.locks.LockRegistry::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.support.locks.LockRegistry__1.diff,152.64,77.68,52114,False
Consumer::1,SUCCESS,0,True,False,LOW,diffs/Consumer__1.diff,293.96,142.84,88114,False
Consumer::2,SUCCESS,0,True,False,LOW,diffs/Consumer__2.diff,406.43,363.64,227793,False
Consumer::3,SUCCESS,0,True,False,LOW,diffs/Consumer__3.diff,125.1,95.45,131643,False
Consumer::4,SUCCESS,0,True,False,LOW,diffs/Consumer__4.diff,83.64,63.38,81407,False
MimeMessage::1,SUCCESS,0,True,False,LOW,diffs/MimeMessage__1.diff,43.21,19.4,23875,False
org.springframework.integration.file.remote.session.Session::1,SUCCESS,2,True,False,LOW,diffs/org.springframework.integration.file.remote.session.Session__1.diff,1637.31,1556.49,360882,False
ApplicationEventPublisher::1,SUCCESS,0,True,False,LOW,diffs/ApplicationEventPublisher__1.diff,49.82,21.22,33547,False
ClientInterceptor::1,SUCCESS,0,True,False,LOW,diffs/ClientInterceptor__1.diff,38.41,21.79,20899,False
Unmarshaller::1,SUCCESS,0,True,False,LOW,diffs/Unmarshaller__1.diff,23.38,6.98,16014,False
IMqttAsyncClient::1,SUCCESS,1,True,False,LOW,diffs/IMqttAsyncClient__1.diff,170.37,126.73,58338,False
IMqttAsyncClient::2,SUCCESS,0,True,False,LOW,diffs/IMqttAsyncClient__2.diff,86.54,61.28,30546,False
IMqttAsyncClient::3,SUCCESS,0,True,False,LOW,diffs/IMqttAsyncClient__3.diff,45.5,10.0,21342,False
