mciId,file,method,beforeCCTR,afterCCTR,delta,pctReduction
XmlReaderContext::1,config/src/test/java/org/springframework/security/config/http/OAuth2ResourceServerBeanDefinitionParserTests.java,validateConfigurationWhenMoreThanOneResourceServerModeThenError,8,7,-1,12.5
XmlReaderContext::1,config/src/test/java/org/springframework/security/config/http/OAuth2ResourceServerBeanDefinitionParserTests.java,validateConfigurationWhenNoResourceServerModeThenError,5,4,-1,20.0
XmlReaderContext::1,config/src/test/java/org/springframework/security/config/http/OAuth2ResourceServerBeanDefinitionParserTests.java,validateConfigurationWhenBothJwtAttributesThenError,5,4,-1,20.0
XmlReaderContext::1,config/src/test/java/org/springframework/security/config/http/OAuth2ResourceServerBeanDefinitionParserTests.java,validateConfigurationWhenNoJwtAttributesThenError,5,4,-1,20.0
XmlReaderContext::1,config/src/test/java/org/springframework/security/config/http/OAuth2ResourceServerBeanDefinitionParserTests.java,validateConfigurationWhenBothOpaqueTokenModesThenError,5,4,-1,20.0
XmlReaderContext::1,config/src/test/java/org/springframework/security/config/http/OAuth2ResourceServerBeanDefinitionParserTests.java,validateConfigurationWhenNoOpaqueTokenModeThenError,5,4,-1,20.0
java.util.function.Supplier<org.springframework.security.oauth2.jwt.ReactiveJwtDecoder>::1,oauth2/oauth2-jose/src/test/java/org/springframework/security/oauth2/jwt/SupplierReactiveJwtDecoderTests.java,decodeWhenInitializedThenCaches,6,5,-1,16.7
java.util.function.Supplier<org.springframework.security.oauth2.jwt.ReactiveJwtDecoder>::1,oauth2/oauth2-jose/src/test/java/org/springframework/security/oauth2/jwt/SupplierReactiveJwtDecoderTests.java,decodeWhenInitializationInitiallyFailsThenRecoverable,6,5,-1,16.7
org.springframework.security.authorization.AuthorizationManager<org.springframework.security.authorization.method.MethodInvocationResult>::1,core/src/test/java/org/springframework/security/authorization/method/AuthorizationManagerAfterMethodInterceptorTests.java,instantiateWhenMethodMatcherNullThenException,4,3,-1,25.0
org.springframework.security.authorization.AuthorizationManager<org.springframework.security.authorization.method.MethodInvocationResult>::1,core/src/test/java/org/springframework/security/authorization/method/AuthorizationManagerAfterMethodInterceptorTests.java,beforeWhenMockAuthorizationManagerThenCheckAndReturnedObject,6,5,-1,16.7
org.springframework.security.acls.model.ObjectIdentity::1,acl/src/test/java/org/springframework/security/acls/AclPermissionEvaluatorTests.java,hasPermissionReturnsTrueIfAclGrantsPermission,12,11,-1,8.3
org.springframework.security.acls.model.ObjectIdentity::1,acl/src/test/java/org/springframework/security/acls/AclPermissionEvaluatorTests.java,resolvePermissionNonEnglishLocale,12,11,-1,8.3
OAuth2AccessToken::1,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/HttpSessionOAuth2AuthorizedClientRepositoryTests.java,loadAuthorizedClientWhenSavedThenReturnAuthorizedClient,3,2,-1,33.3
OAuth2AccessToken::1,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/HttpSessionOAuth2AuthorizedClientRepositoryTests.java,saveAuthorizedClientWhenAuthenticationIsNullThenExceptionNotThrown,1,0,-1,100.0
OAuth2AccessToken::1,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/HttpSessionOAuth2AuthorizedClientRepositoryTests.java,saveAuthorizedClientWhenRequestIsNullThenThrowIllegalArgumentException,3,2,-1,33.3
OAuth2AccessToken::1,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/HttpSessionOAuth2AuthorizedClientRepositoryTests.java,saveAuthorizedClientWhenResponseIsNullThenThrowIllegalArgumentException,3,2,-1,33.3
OAuth2AccessToken::1,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/HttpSessionOAuth2AuthorizedClientRepositoryTests.java,saveAuthorizedClientWhenSavedThenSavedToSession,9,8,-1,11.1
OAuth2AccessToken::1,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/HttpSessionOAuth2AuthorizedClientRepositoryTests.java,removeAuthorizedClientWhenClient1SavedAndClient2RemovedThenClient1NotRemoved,5,4,-1,20.0
OAuth2AccessToken::1,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/HttpSessionOAuth2AuthorizedClientRepositoryTests.java,removeAuthorizedClientWhenSavedThenRemoved,5,4,-1,20.0
OAuth2AccessToken::1,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/HttpSessionOAuth2AuthorizedClientRepositoryTests.java,removeAuthorizedClientWhenSavedThenRemovedFromSession,7,6,-1,14.3
OAuth2AccessToken::1,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/HttpSessionOAuth2AuthorizedClientRepositoryTests.java,removeAuthorizedClientWhenClient1Client2SavedAndClient1RemovedThenClient2NotRemoved,6,5,-1,16.7
OAuth2AccessToken::2,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/server/WebSessionServerOAuth2AuthorizedClientRepositoryTests.java,loadAuthorizedClientWhenSavedThenReturnAuthorizedClient,3,2,-1,33.3
OAuth2AccessToken::2,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/server/WebSessionServerOAuth2AuthorizedClientRepositoryTests.java,saveAuthorizedClientWhenAuthenticationIsNullThenExceptionNotThrown,1,0,-1,100.0
OAuth2AccessToken::2,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/server/WebSessionServerOAuth2AuthorizedClientRepositoryTests.java,saveAuthorizedClientWhenRequestIsNullThenThrowIllegalArgumentException,3,2,-1,33.3
OAuth2AccessToken::2,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/server/WebSessionServerOAuth2AuthorizedClientRepositoryTests.java,saveAuthorizedClientWhenSavedThenSavedToSession,3,2,-1,33.3
OAuth2AccessToken::2,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/server/WebSessionServerOAuth2AuthorizedClientRepositoryTests.java,removeAuthorizedClientWhenClient1SavedAndClient2RemovedThenClient1NotRemoved,5,4,-1,20.0
OAuth2AccessToken::2,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/server/WebSessionServerOAuth2AuthorizedClientRepositoryTests.java,removeAuthorizedClientWhenSavedThenRemoved,5,4,-1,20.0
OAuth2AccessToken::2,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/server/WebSessionServerOAuth2AuthorizedClientRepositoryTests.java,removeAuthorizedClientWhenSavedThenRemovedFromSession,7,6,-1,14.3
OAuth2AccessToken::2,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/server/WebSessionServerOAuth2AuthorizedClientRepositoryTests.java,removeAuthorizedClientWhenClient1Client2SavedAndClient1RemovedThenClient2NotRemoved,6,5,-1,16.7
OAuth2AccessToken::2,oauth2/oauth2-client/src/test/java/org/springframework/security/oauth2/client/web/server/WebSessionServerOAuth2AuthorizedClientRepositoryTests.java,saveAuthorizedClientWhenSessionIsNullThenThrowIllegalArgumentException,5,4,-1,20.0
ApplicationEventPublisher::1,web/src/test/java/org/springframework/security/web/session/DefaultSessionAuthenticationStrategyTests.java,newSessionIsCreatedIfSessionAlreadyExistsWithEventPublisher,20,19,-1,5.0
ApplicationEventPublisher::1,web/src/test/java/org/springframework/security/web/session/DefaultSessionAuthenticationStrategyTests.java,onlySavedRequestAttributeIsMigratedIfMigrateAttributesIsFalseWithEventPublisher,18,17,-1,5.6
ApplicationEventPublisher::2,core/src/test/java/org/springframework/security/authentication/DefaultAuthenticationEventPublisherTests.java,expectedDefaultMappingsAreSatisfied,18,17,-1,5.6
ApplicationEventPublisher::2,core/src/test/java/org/springframework/security/authentication/DefaultAuthenticationEventPublisherTests.java,authenticationSuccessIsPublished,7,6,-1,14.3
ApplicationEventPublisher::2,core/src/test/java/org/springframework/security/authentication/DefaultAuthenticationEventPublisherTests.java,additionalExceptionMappingsAreSupported,5,4,-1,20.0
ApplicationEventPublisher::2,core/src/test/java/org/springframework/security/authentication/DefaultAuthenticationEventPublisherTests.java,unknownFailureExceptionIsIgnored,3,2,-1,33.3
