mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
XmlReaderContext::1,SUCCESS,0,True,False,LOW,diffs/XmlReaderContext__1.diff,2.56,,0,True
java.util.function.Supplier<org.springframework.security.oauth2.jwt.ReactiveJwtDecoder>::1,SUCCESS,0,True,False,LOW,diffs/java.util.function.Supplier_org.springframework.security.oauth2.jwt.ReactiveJwtDecoder___1.diff,0.15,,0,True
org.springframework.security.authorization.AuthorizationManager<org.springframework.security.authorization.method.MethodInvocationResult>::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.security.authorization.AuthorizationManager_org.springframework.security.authori-7546b603510c.diff,0.13,,0,True
org.springframework.security.acls.model.ObjectIdentity::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.security.acls.model.ObjectIdentity__1.diff,0.12,,0,True
OAuth2AccessToken::1,SUCCESS,0,True,False,LOW,diffs/OAuth2AccessToken__1.diff,0.14,,0,True
OAuth2AccessToken::2,SUCCESS,0,True,False,LOW,diffs/OAuth2AccessToken__2.diff,0.15,,0,True
ApplicationEventPublisher::1,SUCCESS,0,True,False,LOW,diffs/ApplicationEventPublisher__1.diff,0.13,,0,True
ApplicationEventPublisher::2,SUCCESS,0,True,False,LOW,diffs/ApplicationEventPublisher__2.diff,0.13,,0,True
"Converter<List<JWK>,JWK>::1",SUCCESS,0,True,False,LOW,diffs/Converter_List_JWK__JWK___1.diff,0.13,,0,True
Converter::1,SUCCESS,0,True,False,LOW,diffs/Converter__1.diff,0.16,,0,True
"Converter<Map<String,Object>,Map<String,Object>>::1",ENVIRONMENT_NOT_READY,0,,,,,,,0,False
"Converter<Map<String,Object>,Map<String,Object>>::2",ENVIRONMENT_NOT_READY,0,,,,,,,0,False
org.springframework.security.core.userdetails.UserDetailsPasswordService::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.security.core.userdetails.UserDetailsPasswordService__1.diff,0.14,,0,True
