mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
java.util.function.Supplier<org.springframework.security.oauth2.jwt.ReactiveJwtDecoder>::1,SUCCESS,0,True,False,LOW,diffs/java.util.function.Supplier_org.springframework.security.oauth2.jwt.ReactiveJwtDecoder___1.diff,43.8,25.6,18972,False
org.springframework.security.authorization.AuthorizationManager<org.springframework.security.authorization.method.MethodInvocationResult>::1,FAILED_BEHAVIORAL_EQUIVALENCE,0,True,False,SKIPPED,diffs/org.springframework.security.authorization.AuthorizationManager_org.springframework.security.authori-7546b603510c.diff,34.72,16.74,3403,False
XmlReaderContext::1,FAILED_SYNTACTIC_VALIDITY,0,True,False,SKIPPED,diffs/XmlReaderContext__1.diff,49.46,39.64,9069,False
org.springframework.security.acls.model.ObjectIdentity::1,FAILED_BEHAVIORAL_EQUIVALENCE,0,True,False,SKIPPED,diffs/org.springframework.security.acls.model.ObjectIdentity__1.diff,31.47,17.57,3745,False
OAuth2AccessToken::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,1921,False
OAuth2AccessToken::2,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,1251,False
ApplicationEventPublisher::1,FAILED_BEHAVIORAL_EQUIVALENCE,0,True,False,SKIPPED,diffs/ApplicationEventPublisher__1.diff,37.21,16.61,4368,False
ApplicationEventPublisher::2,FAILED_BEHAVIORAL_EQUIVALENCE,0,True,False,SKIPPED,diffs/ApplicationEventPublisher__2.diff,62.9,42.63,10485,False
"Converter<List<JWK>,JWK>::1",FAILED_BEHAVIORAL_EQUIVALENCE,0,True,False,SKIPPED,diffs/Converter_List_JWK__JWK___1.diff,34.57,16.17,3648,False
Converter::1,SUCCESS,0,True,False,LOW,diffs/Converter__1.diff,51.96,29.89,26466,False
"Converter<Map<String,Object>,Map<String,Object>>::1",ENVIRONMENT_NOT_READY,0,,,,,,,0,False
"Converter<Map<String,Object>,Map<String,Object>>::2",ENVIRONMENT_NOT_READY,0,,,,,,,0,False
org.springframework.security.core.userdetails.UserDetailsPasswordService::1,FAILED_BEHAVIORAL_EQUIVALENCE,0,True,False,SKIPPED,diffs/org.springframework.security.core.userdetails.UserDetailsPasswordService__1.diff,34.87,14.31,3593,False
org.springframework.security.core.AuthenticationException::1,SUCCESS,0,True,False,HIGH,diffs/org.springframework.security.core.AuthenticationException__1.diff,43.94,13.44,15916,False
"Converter<TokenExchangeGrantRequest,HttpHeaders>::1",FAILED_SYNTACTIC_VALIDITY,0,True,False,SKIPPED,diffs/Converter_TokenExchangeGrantRequest_HttpHeaders___1.diff,50.14,41.9,12204,False
ServerAuthenticationFailureHandler::1,SUCCESS,0,True,False,LOW,diffs/ServerAuthenticationFailureHandler__1.diff,37.69,17.55,17206,False
"Converter<ResponseToken,Saml2Authentication>::1",FAILED_BEHAVIORAL_EQUIVALENCE,0,True,False,SKIPPED,diffs/Converter_ResponseToken_Saml2Authentication___1.diff,45.6,23.08,5141,False
"Converter<JwtBearerGrantRequest,HttpHeaders>::1",FAILED_SYNTACTIC_VALIDITY,0,True,False,SKIPPED,diffs/Converter_JwtBearerGrantRequest_HttpHeaders___1.diff,41.45,32.21,11568,False
TestContext::1,SUCCESS,0,True,False,LOW,diffs/TestContext__1.diff,42.38,23.93,27018,False
org.springframework.security.oauth2.server.resource.introspection.OpaqueTokenIntrospector::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.security.oauth2.server.resource.introspection.OpaqueTokenIntrospector__1.diff,42.59,23.03,27241,False
"Converter<OAuth2RefreshTokenGrantRequest,MultiValueMap<String,String>>::1",SUCCESS,0,True,False,LOW,diffs/Converter_OAuth2RefreshTokenGrantRequest_MultiValueMap_String_String____1.diff,69.39,40.64,36460,False
BeanDefinitionRegistry::1,FAILED_BEHAVIORAL_EQUIVALENCE,0,True,False,SKIPPED,diffs/BeanDefinitionRegistry__1.diff,42.57,19.31,6141,False
org.springframework.security.oauth2.server.authorization.token.OAuth2TokenGenerator<org.springframework.security.oauth2.core.OAuth2Token>::1,FAILED_BEHAVIORAL_EQUIVALENCE,0,True,False,SKIPPED,diffs/org.springframework.security.oauth2.server.authorization.token.OAuth2TokenGenerator_org.springframew-6d7a82b7ff13.diff,38.08,18.58,4016,False
org.springframework.security.oauth2.server.authorization.token.OAuth2TokenGenerator<org.springframework.security.oauth2.core.OAuth2Token>::2,FAILED_BEHAVIORAL_EQUIVALENCE,0,True,False,SKIPPED,diffs/org.springframework.security.oauth2.server.authorization.token.OAuth2TokenGenerator_org.springframew-e0c61d76921d.diff,32.66,15.21,3686,False
WebClient.ResponseSpec::1,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
